task,locked_feature_id,locked_feature_name,locked_HMDB,locked_KEGG,locked_mz,locked_RT,locked_adduct,locked_coefficient,st001000_feature_id,st001000_feature_name,st001000_HMDB,st001000_KEGG,st001000_mz,st001000_RT,st001000_adduct,match_type,match_confidence,matched_yes_no,unmatched_reason,manual_review_yes_no,included_in_projection,source_locked_model_file,source_st001000_file,notes
UC vs nonIBD,HILp_QI3816,,,,196.0609,2.81,,0.09621532100764608,196.0599_2.95,196.0599_2.95,,,196.0599,2.95,,m/z_RT_adduct,medium,yes,,no,True,<PROJECT_ROOT>\Trajectory Modeling\IBD_EMSA_v1\IBD_EMSA_v1_model_coefficients_or_loadings.csv,<PROJECT_ROOT>\Data\外部验证数据\代谢组外部队列验证数据\ST001000\ST001000_metabolomics\ST001000_AN001878_Results.txt,unique_candidate; same-platform m/z/RT match; adduct unavailable locally; mz_tolerance_ppm=10.0; rt_tolerance_min=0.3
UC vs nonIBD,HILp_QI8712,,,,302.0539,2.17,,0.09459874373313,302.0521_2.21,302.0521_2.21,,,302.0521,2.21,,m/z_RT_adduct,medium,yes,,no,True,<PROJECT_ROOT>\Trajectory Modeling\IBD_EMSA_v1\IBD_EMSA_v1_model_coefficients_or_loadings.csv,<PROJECT_ROOT>\Data\外部验证数据\代谢组外部队列验证数据\ST001000\ST001000_metabolomics\ST001000_AN001878_Results.txt,unique_candidate; same-platform m/z/RT match; adduct unavailable locally; mz_tolerance_ppm=10.0; rt_tolerance_min=0.3
UC vs nonIBD,HILp_QI2044,,,,154.0502,3.83,,0.09315822433905405,154.0494_3.98,154.0494_3.98,,,154.0494,3.98,,m/z_RT_adduct,medium,yes,,no,True,<PROJECT_ROOT>\Trajectory Modeling\IBD_EMSA_v1\IBD_EMSA_v1_model_coefficients_or_loadings.csv,<PROJECT_ROOT>\Data\外部验证数据\代谢组外部队列验证数据\ST001000\ST001000_metabolomics\ST001000_AN001878_Results.txt,unique_candidate; same-platform m/z/RT match; adduct unavailable locally; mz_tolerance_ppm=10.0; rt_tolerance_min=0.3
UC vs nonIBD,C8p_QI12386,,,,502.2949,3.41,,-0.09198685472832269,,,,,,,,unmatched,not_applicable,no,feature_absent_in_ST001000,no,False,<PROJECT_ROOT>\Trajectory Modeling\IBD_EMSA_v1\IBD_EMSA_v1_model_coefficients_or_loadings.csv,,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
UC vs nonIBD,HILn_QI30845,,,,573.4898,2.8,,0.09194147300161774,,,,,,,,unmatched,not_applicable,no,feature_absent_in_ST001000,no,False,<PROJECT_ROOT>\Trajectory Modeling\IBD_EMSA_v1\IBD_EMSA_v1_model_coefficients_or_loadings.csv,,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
UC vs nonIBD,HILp_QI13176,,,,455.188,5.83,,-0.09178637242032144,455.1867_5.95,455.1867_5.95,,,455.1867,5.95,,m/z_RT_adduct,medium,yes,,no,True,<PROJECT_ROOT>\Trajectory Modeling\IBD_EMSA_v1\IBD_EMSA_v1_model_coefficients_or_loadings.csv,<PROJECT_ROOT>\Data\外部验证数据\代谢组外部队列验证数据\ST001000\ST001000_metabolomics\ST001000_AN001878_Results.txt,unique_candidate; same-platform m/z/RT match; adduct unavailable locally; mz_tolerance_ppm=10.0; rt_tolerance_min=0.3
UC vs nonIBD,C18n_QI3871,,,,301.0468,0.74,,0.09127305929983431,,,,,,,,unmatched,not_applicable,no,feature_absent_in_ST001000,no,False,<PROJECT_ROOT>\Trajectory Modeling\IBD_EMSA_v1\IBD_EMSA_v1_model_coefficients_or_loadings.csv,,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
UC vs nonIBD,HILp_QI6036,,,,245.0708,3.04,,0.090293950669769,,,,,,,,unmatched,not_applicable,no,feature_absent_in_ST001000,no,False,<PROJECT_ROOT>\Trajectory Modeling\IBD_EMSA_v1\IBD_EMSA_v1_model_coefficients_or_loadings.csv,,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
UC vs nonIBD,HILp_QI1233,,,,136.0398,3.83,,0.08897912412608001,136.039_3.98,136.039_3.98,,,136.039,3.98,,m/z_RT_adduct,medium,yes,,no,True,<PROJECT_ROOT>\Trajectory Modeling\IBD_EMSA_v1\IBD_EMSA_v1_model_coefficients_or_loadings.csv,<PROJECT_ROOT>\Data\外部验证数据\代谢组外部队列验证数据\ST001000\ST001000_metabolomics\ST001000_AN001878_Results.txt,unique_candidate; same-platform m/z/RT match; adduct unavailable locally; mz_tolerance_ppm=10.0; rt_tolerance_min=0.3
UC vs nonIBD,HILp_QI12047,,,,408.2927,4.7,,0.08879198449086487,,,,,,,,unmatched,not_applicable,no,feature_absent_in_ST001000,no,False,<PROJECT_ROOT>\Trajectory Modeling\IBD_EMSA_v1\IBD_EMSA_v1_model_coefficients_or_loadings.csv,,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
UC vs nonIBD,HILp_TF16,nicotinuric acid,HMDB03269,,181.0612,6.14,,0.08223043343220597,,,,,,,,unmatched,not_applicable,no,feature_absent_in_ST001000,no,False,<PROJECT_ROOT>\Trajectory Modeling\IBD_EMSA_v1\IBD_EMSA_v1_model_coefficients_or_loadings.csv,,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
UC vs nonIBD,HILp_QI3932,,,,198.0754,4.07,,-0.08103188804913908,,,,,,,,unmatched,not_applicable,no,feature_absent_in_ST001000,no,False,<PROJECT_ROOT>\Trajectory Modeling\IBD_EMSA_v1\IBD_EMSA_v1_model_coefficients_or_loadings.csv,,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
CD vs UC,HILp_QI12537,,,,428.325,1.65,,-0.1573454740020047,,,,,,,,unmatched,not_applicable,no,feature_absent_in_ST001000,no,False,<PROJECT_ROOT>\Trajectory Modeling\IBD_EMSA_v1\IBD_EMSA_v1_model_coefficients_or_loadings.csv,,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
CD vs UC,HILp_QI1332,,,,137.0955,1.84,,0.125302444924495,,,,,,,,unmatched,not_applicable,no,feature_absent_in_ST001000,no,False,<PROJECT_ROOT>\Trajectory Modeling\IBD_EMSA_v1\IBD_EMSA_v1_model_coefficients_or_loadings.csv,,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
CD vs UC,HILp_QI13573,,,,472.3069,2.9,,0.1241229005096145,,,,,,,,unmatched,not_applicable,no,feature_absent_in_ST001000,no,False,<PROJECT_ROOT>\Trajectory Modeling\IBD_EMSA_v1\IBD_EMSA_v1_model_coefficients_or_loadings.csv,,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
CD vs UC,HILp_QI7038,atenolol,HMDB01924,,267.1707,6.8,,0.1218415497436125,,,,,,,,unmatched,not_applicable,no,feature_absent_in_ST001000,no,False,<PROJECT_ROOT>\Trajectory Modeling\IBD_EMSA_v1\IBD_EMSA_v1_model_coefficients_or_loadings.csv,,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
CD vs UC,HILp_TF11,cytidine,HMDB00089,,244.0932,5.74,,0.1159596736363463,244.0918_5.83,244.0918_5.83,,,244.0918,5.83,,m/z_RT_adduct,medium,yes,,no,True,<PROJECT_ROOT>\Trajectory Modeling\IBD_EMSA_v1\IBD_EMSA_v1_model_coefficients_or_loadings.csv,<PROJECT_ROOT>\Data\外部验证数据\代谢组外部队列验证数据\ST001000\ST001000_metabolomics\ST001000_AN001878_Results.txt,unique_candidate; same-platform m/z/RT match; adduct unavailable locally; mz_tolerance_ppm=10.0; rt_tolerance_min=0.3
CD vs UC,HILp_QI12234,,,,416.2783,2.27,,-0.112107627144655,,,,,,,,unmatched,not_applicable,no,feature_absent_in_ST001000,no,False,<PROJECT_ROOT>\Trajectory Modeling\IBD_EMSA_v1\IBD_EMSA_v1_model_coefficients_or_loadings.csv,,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
CD vs UC,HILp_QI21924,,,,620.5915,11.24,,0.1092521809494427,,,,,,,,unmatched,not_applicable,no,feature_absent_in_ST001000,no,False,<PROJECT_ROOT>\Trajectory Modeling\IBD_EMSA_v1\IBD_EMSA_v1_model_coefficients_or_loadings.csv,,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
CD vs UC,HILn_QI13223,,,,189.0407,8.61,,-0.1083154102441295,,,,,,,,unmatched,not_applicable,no,feature_absent_in_ST001000,no,False,<PROJECT_ROOT>\Trajectory Modeling\IBD_EMSA_v1\IBD_EMSA_v1_model_coefficients_or_loadings.csv,,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
CD vs UC,HILp_QI19277,,,,581.6227,11.11,,0.1069092142874913,,,,,,,,unmatched,not_applicable,no,feature_absent_in_ST001000,no,False,<PROJECT_ROOT>\Trajectory Modeling\IBD_EMSA_v1\IBD_EMSA_v1_model_coefficients_or_loadings.csv,,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
CD vs UC,C8p_QI12386,,,,502.2949,3.41,,-0.1051524013899268,,,,,,,,unmatched,not_applicable,no,feature_absent_in_ST001000,no,False,<PROJECT_ROOT>\Trajectory Modeling\IBD_EMSA_v1\IBD_EMSA_v1_model_coefficients_or_loadings.csv,,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
CD vs UC,HILp_QI18781,,,,574.8001,7.78,,0.1045806515277072,,,,,,,,unmatched,not_applicable,no,feature_absent_in_ST001000,no,False,<PROJECT_ROOT>\Trajectory Modeling\IBD_EMSA_v1\IBD_EMSA_v1_model_coefficients_or_loadings.csv,,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
CD vs UC,C8p_QI14379,,,,539.2258,3.4,,0.1029626900906011,,,,,,,,unmatched,not_applicable,no,feature_absent_in_ST001000,no,False,<PROJECT_ROOT>\Trajectory Modeling\IBD_EMSA_v1\IBD_EMSA_v1_model_coefficients_or_loadings.csv,,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
CD vs UC,HILp_QI24491,,,,710.6129,1.52,,-0.1027147827443791,,,,,,,,unmatched,not_applicable,no,feature_absent_in_ST001000,no,False,<PROJECT_ROOT>\Trajectory Modeling\IBD_EMSA_v1\IBD_EMSA_v1_model_coefficients_or_loadings.csv,,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
CD vs UC,HILn_QI30845,,,,573.4898,2.8,,0.1025600308154784,,,,,,,,unmatched,not_applicable,no,feature_absent_in_ST001000,no,False,<PROJECT_ROOT>\Trajectory Modeling\IBD_EMSA_v1\IBD_EMSA_v1_model_coefficients_or_loadings.csv,,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
CD vs UC,HILp_QI22007,,,,621.3087,1.6,,0.1023169039392106,,,,,,,,unmatched,not_applicable,no,feature_absent_in_ST001000,no,False,<PROJECT_ROOT>\Trajectory Modeling\IBD_EMSA_v1\IBD_EMSA_v1_model_coefficients_or_loadings.csv,,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
CD vs UC,HILn_QI28647,,,,247.0414,5.3,,0.1004414102028398,,,,,,,,unmatched,not_applicable,no,feature_absent_in_ST001000,no,False,<PROJECT_ROOT>\Trajectory Modeling\IBD_EMSA_v1\IBD_EMSA_v1_model_coefficients_or_loadings.csv,,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
CD vs UC,HILp_QI23185,,,,656.4145,8.86,,0.09897200983983806,,,,,,,,unmatched,not_applicable,no,feature_absent_in_ST001000,no,False,<PROJECT_ROOT>\Trajectory Modeling\IBD_EMSA_v1\IBD_EMSA_v1_model_coefficients_or_loadings.csv,,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
CD vs UC,HILp_QI20373,,,,593.9739,9.14,,0.09876827362924756,,,,,,,,unmatched,not_applicable,no,feature_absent_in_ST001000,no,False,<PROJECT_ROOT>\Trajectory Modeling\IBD_EMSA_v1\IBD_EMSA_v1_model_coefficients_or_loadings.csv,,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
CD vs UC,HILp_QI23183,,,,656.2747,11.16,,0.09866424978181804,,,,,,,,unmatched,not_applicable,no,feature_absent_in_ST001000,no,False,<PROJECT_ROOT>\Trajectory Modeling\IBD_EMSA_v1\IBD_EMSA_v1_model_coefficients_or_loadings.csv,,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
CD vs UC,HILp_QI19298,,,,581.6232,9.48,,0.09852554372486573,,,,,,,,unmatched,not_applicable,no,feature_absent_in_ST001000,no,False,<PROJECT_ROOT>\Trajectory Modeling\IBD_EMSA_v1\IBD_EMSA_v1_model_coefficients_or_loadings.csv,,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
CD vs UC,HILp_QI21566,,,,612.2518,8.6,,-0.09744595548315294,,,,,,,,unmatched,not_applicable,no,feature_absent_in_ST001000,no,False,<PROJECT_ROOT>\Trajectory Modeling\IBD_EMSA_v1\IBD_EMSA_v1_model_coefficients_or_loadings.csv,,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
CD vs UC,HILp_QI21942,,,,620.7915,11.63,,0.09609521965926567,,,,,,,,unmatched,not_applicable,no,feature_absent_in_ST001000,no,False,<PROJECT_ROOT>\Trajectory Modeling\IBD_EMSA_v1\IBD_EMSA_v1_model_coefficients_or_loadings.csv,,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
CD vs UC,HILp_QI1048,metformin,HMDB01921,,130.1093,7.19,,0.0956748983079456,,,,,,,,unmatched,not_applicable,no,feature_absent_in_ST001000,no,False,<PROJECT_ROOT>\Trajectory Modeling\IBD_EMSA_v1\IBD_EMSA_v1_model_coefficients_or_loadings.csv,,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
CD vs UC,HILp_QI9715,,,,327.1914,2.23,,0.09450918498270097,,,,,,,,unmatched,not_applicable,no,feature_absent_in_ST001000,no,False,<PROJECT_ROOT>\Trajectory Modeling\IBD_EMSA_v1\IBD_EMSA_v1_model_coefficients_or_loadings.csv,,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
CD vs UC,HILp_QI16417,,,,542.3121,3.79,,0.09215375012192295,542.3094_3.74,542.3094_3.74,,,542.3094,3.74,,m/z_RT_adduct,medium,yes,,no,True,<PROJECT_ROOT>\Trajectory Modeling\IBD_EMSA_v1\IBD_EMSA_v1_model_coefficients_or_loadings.csv,<PROJECT_ROOT>\Data\外部验证数据\代谢组外部队列验证数据\ST001000\ST001000_metabolomics\ST001000_AN001878_Results.txt,unique_candidate; same-platform m/z/RT match; adduct unavailable locally; mz_tolerance_ppm=10.0; rt_tolerance_min=0.3
